Relación emocional,Década impacto,value
Es algo superficial (solo entretenimiento sin impacto cultural).,"1980s (Ej: Dragon Ball, Sailor Moon).",4
Es algo superficial (solo entretenimiento sin impacto cultural).,"1990s (Ej: Pokémon, Evangelion).",1
Es algo superficial (solo entretenimiento sin impacto cultural).,"2000s (Ej: Naruto, Death Note).",2
Es algo superficial (solo entretenimiento sin impacto cultural).,"2010s-2020s (Ej: Attack on Titan, Demon Slayer).",1
Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).,"1980s (Ej: Dragon Ball, Sailor Moon).",3
Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).,"1990s (Ej: Pokémon, Evangelion).",1
Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).,"2000s (Ej: Naruto, Death Note).",1
Es un pilar de mi identidad (ej: uso frases de anime en mi día a día).,"2010s-2020s (Ej: Attack on Titan, Demon Slayer).",4
"Es una influencia moderada (ej: consumo productos, pero no lo priorizo).","1980s (Ej: Dragon Ball, Sailor Moon).",1
"Es una influencia moderada (ej: consumo productos, pero no lo priorizo).","2000s (Ej: Naruto, Death Note).",2
"Es una influencia moderada (ej: consumo productos, pero no lo priorizo).","2010s-2020s (Ej: Attack on Titan, Demon Slayer).",4
